Ticker,GICS SubIndustry,Unpriced Operating Risk,Unpriced Value Score,Unpriced Quality Score,Composite Score,Score,EV/EBITDA,ROIC,Unlevered Beta
LAND,6010,69.67740722996848,51.10806057074098,46.314510295306945,55.69999269867213,20.0,57339689.825708814,-0.017223118,0.4274083687639082
NEU,1510,65.95269895639295,54.715608734456026,46.417504228988626,55.69527063994587,67.0,19416492.643340327,0.032244843,0.5794824999797463
IEX,2010,64.30653704272895,56.75017925354916,45.99828072121522,55.68499900583111,42.0,18922694.750688504,0.022057953,1.0538205113355652
AWR,5510,63.8269859654072,54.756884604325144,48.468961111776686,55.68427722716967,67.0,23359159.20993921,0.01394106,0.055611362927966194
UCB,4010,58.639407132685534,58.87775234179563,49.51010627183287,55.67575524877134,5.0,7815330.858926359,0.060362165,1.1572246886577728
OBT,4010,61.324667885609976,56.7166236076079,48.96814380494864,55.66981176605551,20.0,9375855.933309386,0.076881101,0.9506121977037868
RGP,2020,43.76354191746996,84.79956755713211,38.445345067112406,55.66948484723816,78.0,-6617288537.954545,-0.011073498,1.3494035670920677
KRNY,4010,67.08572256674323,55.243018780080824,44.622086221251536,55.65027585602519,5.0,23718130.28119498,0.007653507,0.9081265264594552
CTGO,1510,54.52848342323443,53.078522834989144,59.3134557080058,55.64015398874312,83.0,-43772684.237095,0.357950579,0.7664167944295649
SON,1510,65.99040247380478,55.17607166486824,45.721677608237094,55.6293839156367,67.0,3916157.124624952,0.018862117,0.5771409398378347
SAM,3020,63.80668292052277,56.8404829944367,46.234104889377775,55.62709026811242,67.0,7259278.913916246,0.049402484,0.16005217354552168
APOG,2010,63.8738134965547,56.94051103560243,46.04036793747511,55.61823082321075,42.0,10039615.496723328,0.027715782,1.0831729853634664
NDSN,2010,63.48299313810344,56.99639232714786,46.362492240765114,55.613959235338804,40.0,20894060.610145733,0.026452736,1.156531247884779
EXEL,3520,63.8780793715747,55.7471097949837,47.16288716434036,55.596025443632925,42.0,25570009.969946183,0.067398339,0.8906047801296053
BSY,4510,67.12974885773012,54.95035171467951,44.61694949511382,55.56568335584115,60.0,63594592.40756264,0.027397052,0.6908611315939736
PEP,3020,64.52611265390749,55.870535922898256,46.256467332693056,55.551038636499605,67.0,15205816.190215323,0.051636923,0.12746448036846436
WNEB,4010,63.272285100539605,56.96388916506928,46.41597372926751,55.550715998292134,20.0,8294011.96934948,0.049360457,0.893173202831711
NOVT,4520,62.327162559190405,57.24078866476899,47.072613814773526,55.546855012910974,28.0,53429452.08359799,0.006282382,1.5885593084940444
ATR,1510,65.5880122063856,54.68014314834771,46.34101294806533,55.53638943426622,67.0,20610353.099283516,0.030773698,0.6021312080239639
VRRM,2020,67.1769631096457,54.3454411290059,45.08084587377985,55.534416704143815,60.0,21383841.423925873,0.020821663,0.2804491585989104
ENS,2010,63.48675941168253,56.66978798592576,46.3170179054303,55.49118843434619,40.0,36137191.40242131,0.020339573,1.1562757742726084
